timestamp,best_bid,best_ask,bid_volume,ask_volume,mid_price,spread,last_trade_price,last_trade_volume
1773962574820,1.517,1.5176,64.125,35.243,1.5173,0.000600000000000156,1.518,29.00818582
1773962582588,1.517,1.5175,64.125,64.125,1.51725,0.000500000000000167,1.518,29.00818582
1773962592614,1.517,1.5176,64.125,99.368,1.5173,0.000600000000000156,1.518,29.00818582
1773962730904,1.5168,1.5169,68.005,2765.69,1.5168499999999998,9.999999999998899e-05,1.518,29.00818582
1773962738574,1.5168,1.5169,68.005,2765.69,1.5168499999999998,9.999999999998899e-05,1.518,29.00818582
1773962748598,1.5169,1.517,396.084,2766.24,1.51695,9.999999999998899e-05,1.517,543.4533857
1773962851656,1.5169,1.5179,377.997,64.125,1.5173999999999999,0.001000000000000112,1.517,543.4533857
1773962859143,1.5169,1.518,377.997,97.116,1.51745,0.001100000000000101,1.517,543.4533857
1773962869063,1.5179,1.5189,68.008,64.125,1.5184,0.0009999999999998899,1.517,543.4533857
1773962880239,1.518,1.5189,415.735,64.125,1.51845,0.0008999999999999009,1.517,543.4533857
1773962892924,1.5195,1.5207,390.402,64.125,1.5201,0.0011999999999998678,1.517,543.4533857
1773962899131,1.5195,1.5207,394.328,64.125,1.5201,0.0011999999999998678,1.517,543.4533857
1773962909103,1.52,1.5208,387.932,44.412,1.5204,0.0007999999999999119,1.517,543.4533857
1773962919116,1.52,1.5208,387.932,44.412,1.5204,0.0007999999999999119,1.517,543.4533857
1773962929136,1.5207,1.5208,68.036,44.412,1.52075,9.999999999998899e-05,1.517,543.4533857
1773962939138,1.5207,1.5208,3719.912,44.412,1.52075,9.999999999998899e-05,1.517,543.4533857
1773962949147,1.5211,1.5215,64.125,25.864,1.5213,0.000400000000000178,1.517,543.4533857
1773962959149,1.5209,1.5215,64.125,89.989,1.5211999999999999,0.000600000000000156,1.517,543.4533857
1773962969155,1.5209,1.5215,64.125,89.989,1.5211999999999999,0.000600000000000156,1.517,543.4533857
1773962979178,1.5209,1.5214,64.125,64.125,1.52115,0.000500000000000167,1.517,543.4533857
1773962989179,1.5209,1.5214,64.125,64.125,1.52115,0.000500000000000167,1.517,543.4533857
1773962999214,1.521,1.5214,64.125,64.125,1.5211999999999999,0.000400000000000178,1.517,543.4533857
1773963009181,1.5212,1.5215,64.125,25.864,1.52135,0.00029999999999996696,1.517,543.4533857
1773963019189,1.522,1.5227,64.125,40.746,1.5223499999999999,0.0006999999999999229,1.517,543.4533857
1773963029212,1.522,1.5226,64.125,64.125,1.5223,0.0005999999999999339,1.517,543.4533857
