timestamp,action,btc_price,eth_price,spread,z_score,position,equity,pnl_pct
2026-03-24 13:47:34,hold,70377.85,2141.51,0.00073657,-1.118598,0,1.0,0.0
2026-03-24 13:47:41,hold,70362.45,2141.26,0.00060454,-1.19555,0,1.0,0.0
2026-03-24 13:47:51,hold,70342.65,2139.03,0.00109966,-0.841807,0,1.0,0.0
2026-03-24 13:47:58,hold,70359.55,2139.9,0.00103577,-0.921766,0,1.0,0.0
2026-03-24 13:48:01,hold,70359.55,2139.22,0.0012721,-0.710608,0,1.0,0.0
2026-03-24 13:48:06,hold,70328.25,2138.95,0.000921,-0.988454,0,1.0,0.0
2026-03-24 13:48:11,hold,70346.05,2139.81,0.00087863,-0.983379,0,1.0,0.0
2026-03-24 13:48:16,hold,70346.05,2139.44,0.00100548,-0.917128,0,1.0,0.0
2026-03-24 13:48:21,hold,70322.75,2138.27,0.00108271,-0.8249,0,1.0,0.0
2026-03-24 13:48:26,hold,70302.45,2137.54,0.00104617,-0.878595,0,1.0,0.0
2026-03-24 13:48:31,hold,70287.25,2136.62,0.00115005,-0.763664,0,1.0,0.0
2026-03-24 13:48:36,hold,70309.55,2137.52,0.00115585,-0.791738,0,1.0,0.0
2026-03-24 13:48:41,hold,70309.55,2136.9,0.00136809,-0.587209,0,1.0,0.0
2026-03-24 13:48:46,hold,70262.55,2135.76,0.00109794,-0.824096,0,1.0,0.0
2026-03-24 13:48:51,hold,70262.55,2135.93,0.00103701,-0.832289,0,1.0,0.0
2026-03-24 13:48:56,hold,70262.55,2136.16,0.00095695,-0.918307,0,1.0,0.0
2026-03-24 13:49:01,hold,70249.95,2135.85,0.00088726,-0.938696,0,1.0,0.0
2026-03-24 13:49:06,hold,70249.95,2136.46,0.00067492,-1.121494,0,1.0,0.0
2026-03-24 13:49:11,hold,70262.55,2135.88,0.00105616,-0.793714,0,1.0,0.0
2026-03-24 13:49:16,hold,70262.55,2136.38,0.00088211,-0.953272,0,1.0,0.0
2026-03-24 13:49:22,hold,70262.55,2136.23,0.00093432,-0.881641,0,1.0,0.0
2026-03-24 13:49:26,hold,70262.55,2135.89,0.00105268,-0.808137,0,1.0,0.0
2026-03-24 13:49:31,hold,70262.55,2135.77,0.0010962,-0.738865,0,1.0,0.0
2026-03-24 13:49:36,hold,70232.35,2134.4,0.00113995,-0.727743,0,1.0,0.0
2026-03-24 13:49:41,hold,70220.05,2133.69,0.00121394,-0.628279,0,1.0,0.0
2026-03-24 13:49:46,hold,70202.75,2133.48,0.00104248,-0.795859,0,1.0,0.0
